state_name,semester,snap_biannual_chan
Alabama,0118,-2.376225094749096
Alabama,0119,-2.849799902598094
Alabama,0718,-2.05258293614633
Alaska,0118,-2.85833997588244
Alaska,0119,-.0891389409830801
Alaska,0718,-9.12610328539718
Arizona,0118,-4.194038864692917
Arizona,0119,-2.123975569661263
Arizona,0718,-2.533185193848309
Arkansas,0118,-1.974530369726279
Arkansas,0119,-.8293265263458971
Arkansas,0718,-4.024118841260749
California,0118,-.9373505428765139
California,0119,-3.70826372389792
California,0718,-3.317401905077788
Colorado,0118,.7200728044089999
Colorado,0119,2.980158578072767
Colorado,0718,-2.485528927854586
Connecticut,0118,-3.785114168120396
Connecticut,0119,-1.275678376998979
Connecticut,0718,-5.003699429555541
Delaware,0118,-.0125112079571332
Delaware,0119,1.643168380745585
Delaware,0718,-5.2352053832732
District of Columbia,0118,.9177728711659672
District of Columbia,0119,-.968803094386006
District of Columbia,0718,-2.773091522564319
Florida,0118,-44.71010299534223
Florida,0119,-3.896116858220977
Florida,0718,-6.234525209967378
Georgia,0118,-.1964560429603912
Georgia,0119,-7.10648080040015
Georgia,0718,-2.115934370723016
Idaho,0118,.8379179533513526
Idaho,0119,-.4435734809263403
Idaho,0718,-7.302464021602384
Illinois,0118,-1.980407258772821
Illinois,0119,3.157258702084875
Illinois,0718,-2.354188010812042
Indiana,0118,-2.668418627243407
Indiana,0119,.4249642813779264
Indiana,0718,-3.832607151768752
Iowa,0118,-1.330706020459504
Iowa,0119,-2.09484112529037
Iowa,0718,-5.127486055991326
Kansas,0118,-3.915814371126347
Kansas,0119,-4.502825678794997
Kansas,0718,-2.638524833040823
Kentucky,0118,-1.983061732730218
Kentucky,0119,-5.637764868418859
Kentucky,0718,-5.60209169058944
Louisiana,0118,-2.356105154704113
Louisiana,0119,-4.398157425110039
Louisiana,0718,-2.272420962901955
Maine,0118,-1.239237516674274
Maine,0119,-3.793531957614305
Maine,0718,-4.48355503581348
Maryland,0118,-2.121285312874577
Maryland,0119,-1.27476389470601
Maryland,0718,-2.657574601072599
Massachusetts,0118,.5287924026137425
Massachusetts,0119,-1.613440369052943
Massachusetts,0718,-.4353104651267814
Michigan,0118,-1.371424774738728
Michigan,0119,82.96145931772716
Michigan,0718,-3.683768940930787
Minnesota,0118,-2.11277562699882
Minnesota,0119,-2.841496296881207
Minnesota,0718,-1.278885549143549
Mississippi,0118,-2.49989089660223
Mississippi,0119,-5.748655758115806
Mississippi,0718,-4.341167037723215
Missouri,0118,-1.076464605289718
Missouri,0119,-.832316166146263
Missouri,0718,-4.075201666406625
Montana,0118,.0272925764192244
Montana,0119,-4.191244403382843
Montana,0718,-4.017735334242833
Nebraska,0118,-.4103232955135705
Nebraska,0119,-2.68373096750989
Nebraska,0718,-3.330300694802601
Nevada,0118,-.3144469658349136
Nevada,0119,-2.95562005951403
Nevada,0718,-.8390582996171236
New Hampshire,0118,-1.376387848429617
New Hampshire,0119,-6.56791238031883
New Hampshire,0718,-4.562047933247171
New Jersey,0118,-1.801848866915989
New Jersey,0119,-2.052801695161366
New Jersey,0718,-3.490496506908325
New Mexico,0118,-.492829696348418
New Mexico,0119,-.3192555571042699
New Mexico,0718,-1.558120237050331
New York,0118,-.067198252845424
New York,0119,-1.881977937557333
New York,0718,-2.631464632034652
North Carolina,0118,22.72452919432206
North Carolina,0119,
North Carolina,0718,
North Dakota,0118,.269647772597037
North Dakota,0119,-3.194900596614647
North Dakota,0718,-3.90311315293107
Ohio,0118,-1.050404853566389
Ohio,0119,-.115544309211113
Ohio,0718,-2.495565847854375
Oklahoma,0118,-1.609261059389833
Oklahoma,0119,-.4662331061808245
Oklahoma,0718,-1.802959494947265
Oregon,0118,-.471435813146126
Oregon,0119,-2.101211611084775
Oregon,0718,-4.283701253702221
Pennsylvania,0118,-.3071673469032477
Pennsylvania,0119,-1.885000490957778
Pennsylvania,0718,-1.628484425138066
Rhode Island,0118,-2.005869926906323
Rhode Island,0119,
Rhode Island,0718,
South Carolina,0118,-3.111330250369793
South Carolina,0119,-2.874918420914729
South Carolina,0718,-6.565213714397622
South Dakota,0118,-.6406071938307001
South Dakota,0119,-3.413739596558052
South Dakota,0718,-5.273707184535215
Tennessee,0118,-1.804796213505311
Tennessee,0119,.2620392038989117
Tennessee,0718,-6.766471800445784
Texas,0118,-36.10765898875297
Texas,0119,-1.99512520858881
Texas,0718,-5.424209189050377
Utah,0118,-1.659843767459346
Utah,0119,-3.591793642327301
Utah,0718,-6.073298970137076
Vermont,0118,.3496690155883053
Vermont,0119,69.57443780244805
Vermont,0718,-6.556722968479855
Virgin Islands,0118,13.16982032119574
Virgin Islands,0119,-13.67076132483898
Virgin Islands,0718,-.2037303733885998
Virginia,0118,-.9949950829118204
Virginia,0119,-2.081772073284338
Virginia,0718,-2.608792662207793
Washington,0118,-.0876531974410621
Washington,0119,91.99412068969552
Washington,0718,-4.378447938230856
West Virginia,0118,-1.237398132697776
West Virginia,0119,-.1662613450320261
West Virginia,0718,-3.544061596391546
Wisconsin,0118,-.9763493568527792
Wisconsin,0119,-1.879621268479226
Wisconsin,0718,-3.466046385582977
Wyoming,0118,.111063927089794
Wyoming,0119,.3367365215833695
Wyoming,0718,-8.914412503670832
